user-id|,text|,topic|,thread-id|,time|,post-id|,replyTo|,replyBy|
Moche_Peru,@MariaCespedesc @PCaterianoB @pcmperu Congresista @MariaCespedesc mejor presente la Ley Mulder con sus modificaciones correspondientes para que la #PrensaMermelera quienes defienden a capa y espada las bajezas del Sr. #Cateriano trabajen de verdad y dejen de estar sangrando la teta del estado.,covid-19,1291144570357653507,2020-08-05 22:50:28,82,MariaCespedesc,Moche_Peru
SoyWARM,"@MariaCespedesc @PCaterianoB @pcmperu Nadie aprende en cuerpo ajeno, ahora ya saben quién se victimiza y responsabiliza al congreso de sus fracasos.",covid-19,1291143888019881987,2020-08-05 22:47:45,83,MariaCespedesc,SoyWARM
gensperm,@MariaCespedesc @PCaterianoB @pcmperu pobre tarada...así se jactan de creer en Dios?Uds son la peor escoria de este país...una analfabeta y payasa a quien manejar a su antojo...vergüenza para la mujer descendente de este pais,covid-19,1291143592707346434,2020-08-05 22:46:35,84,MariaCespedesc,gensperm
gustavo98914281,"@MariaCespedesc @PCaterianoB @pcmperu Señora, estamos en medio de una batalla que la estamos perdiendo. No se despide a los comandantes que están luchando. Solo han logrado debilitar más al Perú. ¡Que pena! que algo tan simple no entiendan. Le recomiendo que lea a Sun Tzu.",covid-19,1291142347519078401,2020-08-05 22:41:38,85,MariaCespedesc,gustavo98914281
sandra_narcizo,"@MariaCespedesc @PCaterianoB @pcmperu Discriminación?? Yo creo que en este pais dar una opinión no debe ser ofensa, dicen tener buenas intenciones pero sin preparación para un cargo importante es un saco roto de buenos deseos esta agrupación",covid-19,1291142079565967360,2020-08-05 22:40:34,86,MariaCespedesc,sandra_narcizo
arezcsa,"@MariaCespedesc @PCaterianoB @pcmperu Porque chucha ocultas mi tweet?

Sabes que es verdad?
Cateriano tiene la razon y apoya la mineria que es esencial para nuestro pais.
Sigan pensando en agricultura y nosotros puffff abajo.

IGNORANTESSSSS",covid-19,1291141490484350985,2020-08-05 22:38:14,87,MariaCespedesc,arezcsa
JoseArm83664423,"@MariaCespedesc @PCaterianoB @pcmperu Sería bueno crear una comisión investigadora sobre el frepap, así saber cuánta fortuna acumulada, bajo el colchón tienen a costa de la manipulación de gente humilde.",covid-19,1291140422820155397,2020-08-05 22:33:59,88,MariaCespedesc,JoseArm83664423
Angelo77_77,"@MariaCespedesc @PCaterianoB @pcmperu En los acuerdos o diferencias, todos merecen mucho respeto, mi solidaridad con vuestro partido,",covid-19,1291139878726623233,2020-08-05 22:31:49,89,MariaCespedesc,Angelo77_77
DalRamosE,@MariaCespedesc @PCaterianoB @pcmperu Sea consecuente con sus ideas el país no necesita más leña y negar la confianza fue hechar más lecha,covid-19,1291139252584157189,2020-08-05 22:29:20,90,MariaCespedesc,DalRamosE
DalRamosE,"@MariaCespedesc @PCaterianoB @pcmperu Entonces dejen de ser aliados ""tontos"" de Acción Popular y la bancada telesup cuyo único propósito es tomar el poder desprestigiando al presidente intentando consumar un golpe de estado. No sean cómplices ""tontos""",covid-19,1291139053736386563,2020-08-05 22:28:33,91,MariaCespedesc,DalRamosE
irmakarihu,@MariaCespedesc @martinhidalgo @PCaterianoB @pcmperu Bla bla bla bla bla bla bla👎👎👎👎👎👎👎👎👎,covid-19,1291138913483005954,2020-08-05 22:27:59,92,MariaCespedesc,irmakarihu
NoALaPlandemia,@MariaCespedesc @PCaterianoB @pcmperu El Perú con Usteded Frepap. 💪,covid-19,1291138524234821634,2020-08-05 22:26:27,93,MariaCespedesc,NoALaPlandemia
maralaska,@MariaCespedesc @PCaterianoB @pcmperu seeeeeeeeee lucha contra la corrupción zasssss,covid-19,1291138208508579843,2020-08-05 22:25:11,94,MariaCespedesc,maralaska
