user-id	text	topic	thread-id	time	post-id	replyTo	replyBy
Margari2012	@MariaCespedesc @PCaterianoB Un grave problema es la minería informal, a la que los anti mineros ni la nombran.	covid-19	1291169498251366401	2020-08-06 00:29:31	11	MariaCespedesc	Margari2012
AepesaRicardo	"@MariaCespedesc @PCaterianoB Entonces porque chanco tanto con las mineras. Una minera responsable siempre se quiere, pero a la vez la informal ni la combaten.
Estan representando un voto, la necesidad de una crisis no era lo mejor."	covid-19	1291165191170854915	2020-08-06 00:12:24	12	MariaCespedesc	AepesaRicardo
mjkaijae	@MariaCespedesc @PCaterianoB y qué  plantea?	covid-19	1291164349424336903	2020-08-06 00:09:04	13	MariaCespedesc	mjkaijae
luisen720417	@MariaCespedesc @PCaterianoB Creo en comunidades que usan la ley, cuando incumplen con sus derechos y aceptan la ley cuando no  cumplen con los derechos otros.	covid-19	1291160557815500800	2020-08-05 23:54:00	14	MariaCespedesc	luisen720417
maratuech61	@MariaCespedesc @PCaterianoB Estoy de acuerdo con la invrrsion minera pero deben respetar leyes y acuerdos antes de.	covid-19	1291159791226757121	2020-08-05 23:50:57	15	MariaCespedesc	maratuech61
manuelcl10	@MariaCespedesc @PCaterianoB Apoyo su lucha, NO a los T.rans.geni.cos, NO a los vegetales sinteticos	covid-19	1291158889753382913	2020-08-05 23:47:22	16	MariaCespedesc	manuelcl10
sirasavi	@MariaCespedesc @PCaterianoB 👏👏👏👏👏👏👏	covid-19	1291158381852536833	2020-08-05 23:45:21	17	MariaCespedesc	sirasavi
mercedes220894	@MariaCespedesc @PCaterianoB los del FREPAP ¿que aportan en el congreso? si solo tienen secundaria. No son economistas, médicos, ingenieros, etc los del FREPAP estan ganando un sueldazo por votantes que no leyeron la hoja de vida de esos burros #SoloProfesionalesAlCongreso	covid-19	1291154416775634950	2020-08-05 23:29:36	18	MariaCespedesc	mercedes220894
siserdtel	@MariaCespedesc @PCaterianoB Ustedes tiene representación porque la gente no podía votar en blanco (para favorecer a fujimoristas) y sin querer terminaron sacando una representacion. Aprovechen y demuestren. Su comportamiento podria ser castidago por los electores en las prox elecciones	covid-19	1291153239593881601	2020-08-05 23:24:55	19	MariaCespedesc	siserdtel
abelardus305	@MariaCespedesc @PCaterianoB El ex premier se le prende al, hasta hoy, único partido coherente con sus ideas pero se hace el tercio con las sanguijuelas que pactan debajo de la mesa	covid-19	1291152294118137857	2020-08-05 23:21:10	20	MariaCespedesc	abelardus305
